Forecaster,.estimate
Average of recent forecasts,14.486334884831129
ElectionMapsUK,11.2
Electoral Calculus,20.8
Exit poll,4.857142857142857
Find Out Now/Electoral Calculus (MRP – with tactical voting),22.428571428571427
Find Out Now/Electoral Calculus (MRP – without tactical voting),26.142857142857146
Find Out Now/Electoral Calculus (MRP),18.285714285714285
Focaldata (MRP),10.571428571428573
Ipsos (MRP),12.857142857142858
JL Partners (SRP),12
More in Common (MRP),8.285714285714286
New Statesman,5.142857142857143
Principal Fish,16.2
Savanta (MRP),29.142857142857146
Survation (MRP),20.71428571428571
Techne (MRP),17.428571428571427
The Economist,11.8
The Telegraph,26.5
We Think (MRP),20.285714285714285
YouGov (MRP),7.428571428571429
